video_id,date,likes,comments,saves,caption,text_in_video,content_type,subtype,discussion_in_comments,notes
7598690788838526238,1-23,2480.0,20.0,1158.0,"This book has me in a CHOKEHOLD 🤯📖 
#usdarkfew #booktokfyp #bookrecs #enemiestolovers #enemiestoloversrecs","This is your reminder. There's a book where her enemy pretends to HATE her for two whole books but when he walks into her prison cell, she glares at him and says, ""I've already seen you angry at me."" He smirks and steps closer. ""No, you haven't. You wouldn't dare be in this cell alone with me if you had.""",rec,"text
self promo",,
7598283546108710151,,1606.0,12.0,610.0,"🌻 Scars of You by [CREATOR WORK] - Out Now on Kindle, Paperback & Audible!!

#BookTok 

#smalltownromance 

#enemiestolovers 

#BookRecommendations 

#foundfamilytrope 

Small town romance 
Enemies to lovers 
Found family 
Hurt/comfort
Forced proximity 
[CREATOR WORK]",when her broody neighbor is making her drive while she's *sitting on his lap*...,int,"text
self promo",,
7591145699086044438,,7370.0,41.0,3530.0,"his book finished me 😭💔

📚 The Hidden Falling by 

[CREATOR] Cove 🥀🐲 

#bookrecommendations 

#darkromance 

#bookrecs 

#enemiestolovers 

#fyp 
The Hidden Falling: A Dark Romance Book Review
Discover the emotional journey in The Hidden Falling by Kelly Cove. A gripping dark romance that you'll never forget. #bookrecommendations #darkromance #bookrecs
Keywords: The Hidden Falling book review, dark romance novels, emotional book recommendations, enemies to lovers story, Kelly Cove books, must read dark romance, impactful love stories, gripping romance novels, book recommendations 2023, emotional reading experience",she went through so much I can't,int,"text
emotional",,
7591261962869198093,,720.0,22.0,181.0,"Kane Davenport has a way with words! 
Beautiful Venom by Rina Kent

#enemiestolovers 

#hockeyromance 

#rinakent 

#BookTok 

#bookscenes 

Enemies to Lovers, Dark Romance Books, Boy Obsessed, Morally Grey, Rina Kent Books, Kane Davenport, romance Book Recommendations, Booktok, Possessive MMC , Bloom Books, Dark Hockey Romance","She's witht he hockey player that she "" h a t e s"" and tells him she was faking it but he reminds her what really happened. Book Tropes Hockey Romance Enemies to lovers Boy Obsessed College Romance",int,text,,
7390854849073663262,,15.8k,99.0,6246.0,"actual enemies to lovers book recs!! 

#enemiestolovers 

#booktok 

#enemiestoloverstrope 

#bookish 

#books",REAL.enemies to lovers.,rec,normative eval,,
7532692937214364941,2025-07-30,487.0,19.0,217.0,"Enemies to Lovers doesn’t have to take forever and I’ll stand on that. 

#booktok 

#enemiestolovers 

#enemiestoloverstrope 

#romancebooks 

#creatorsearchinsights 
Quick Reads: Enemies to Lovers Romance Recommendations
Discover engaging enemies to lovers romance books that won’t keep you waiting. Perfect picks for quick escapism! #booktok #enemiestolovers #romancebooks
Keywords: quick enemies to lovers romance books, best enemies to lovers recommendations, popular romance book tropes, engaging installments in romance novels, rivals to lovers book recommendations, unique enemies to lovers stories, fast-paced romance reads, compelling enemies to lovers fiction, romantic book suggestions, favorite booktok romance tropes",ENEMIES TO LOVERS Book Trope,rec,normative eval,,ridiscute la normative eval per cui il vero etl è solo slow burn
7351149918976838955,2024-03-27,8131.0,107.0,1498.0,"Spoiler free Cruel Prince & Folk of the Heir trilogy review! Have you read this series yet? What did you think? 

#cruelprince 

#folkoftheair 

#thecruelprince 

#judeandcardan 

#cardanandjude 

#enimiestolovers",,int,,,review classica
7591122296413146399,2026-03-01,5814.0,9.0,2496.0,"Hateful Games by Simran

Read in KU ✨

Why you will love it:
- Arranged Marriage
- Billionaire Romance
- Rival Families
- Enemies to lovers
- BANTER
- Groveling

#kuromancereads 

#arrangedmarriageromance 

#booksthatmademesob 

#romancebooks 

#enemiestoloversbook","When he threw her out of his house because of a misunderstanding & then the next morning, he receives a call from his bestfriend",int,text,,un commento non condivide il punto di vista
7542229940184419607,2025-08-24,225.7k,1002.0,40.4k,"THE BLUEPRINT ❤️‍🔥 

#BookTok 

#enemiestolovers 

#zodiacacademy 

#toryvega 

#dariusacrux",When I say I want enemies to lovers...this is what I mean [enemies -first kiss-enemies with benefits-enemies struggling with their feelings but slowly falling in love-lovers],int,normative eval,,"il trope è discusso es. ""I love slow burn...but not that slow"" etc.
the name of the book is not written but some people recognized it"
7533140794933398791,2025-07-31,11.9k,75.0,7805.0,"Enemies to lovers will always be a favourite trope ✨📖 

#BookTok 

#bookrecommendations 

#wlw 

#wlwbooks 

#enemiestolovers 

#sapphicbooks 

#lgbtbooks 
Vampire Enemies to Lovers Books
Wlw Книги
Enemy to Lover Books Romance
Lesbian Friends to Enemies to Lovers
Wlw Books Audible
Wlw Book Detailed Pages
Enemies to Lovers Wlw
Livros De Enemies to Lovers
Enemies to Lovers Livros Gay
Enemies to Lovers Shared Bed Wlw",Enemies to lovers but make it sapphic,rec,,,pila di libri che scorrono
7450188249009605910,2024-12-19,6473.0,8.0,1513.0,"Omg 📚Silent vows 

#enemiestolovers 

#Booktok 

#romancebooks 

#bookrecommendations","When his arranged wife always act like she doesn't care about him, but when another girl puts her hand on his shoulder, she immediately gets in between ""When I saw Ivy step forward, I realized what was happening. Noemi was saking her claim. Fuck me if I didn't love the way that felt. I had no clue how she'd known I had a past with ivy, but she couldn't have been more obvious if she'd tattooed her name on my forehead. Not that I would complain. She could have pissed a circle around me, and I would have just laughed""",int,text,,"""when videos"": subtype? trend? other"
7539613831606127894,2025-08-17,136.7k,1729.0,24.3k,"If you read closely you can see the middle part happening👩‍❤️‍💋‍👩

#booktok 

#bookedit 

#wlw 

#enemiestolovers 

#fyp",Enemies-fucking-lovers,int,structure,,
7566740460471880981,2025-10-29,9073.0,286.0,7957.0,"I hear we need more yearning and yearning books with lots of angst happens to be my middle name 

#romancebooks 

#booktok 

#enemiestolovers books like boys of tommen 

#romancebooktok underrated romance books",Yearning and Angst underrated books,rec,,,
7598402449866640670,2026-01-23,768.0,2.0,260.0,"Before they marry me off…

#booktok 

#currentlyreading 

#bookrecommendations 

#romancereader 

#tbr","She is the daughter of your family rival, but she wants one night with her enemy before they marry her off to another man... Burning Skies Lex Martin Small Town Enemies to Lovers Suspense Standalone Series/KU",int,text,,"""this is just liquified 50 shardes of grey"" gran commento"
7481793902907837738,2025-03-14,3822.0,21.0,1907.0,"I hope this doesn’t find you by Ann Liang 
Not here to be like by Michelle Quach

#bookrecommendations 

#bookreview 

#bookworm 

#booklover 

#enemiestolovers 

#academicrivals 

#enemiestoloversbooks 

#enemiestoloverstrope",Enemies to lovers/academic rivals trope in one book >>>>,rec,,,
7235959996473756935,2023-05-22,35.6k,385.0,16.3k,"Replying to 

[CREATOR] books with enemies to lovers 📚🔥🌶️⭐️❤️ 

#enemiestolovers 

#enemiestoloverstrope 

#darkromance 

#darkromancebooks 

#romance 

#romancebooks 

#romancebooktok 

#booktok 

#booktokbrasil 

#booktoker 

#bookish 

#bookishthoughts 

#bookishhumor 

#bookrecommendations 

#bookrecs 

#bookrecs 

#bookreview 

#book 

#books 

#bookstan 

#bookshelf 

#book 

#fyp 

#foryou 

#foryoupage 

#fypシ 
Quick Read Enemies to Lovers Books
Dark Enemies to Lovers Books
Enemies to Lovers Book Scenes Page
Enemies to Lovers Books
Mm Enemies to Lovers Book
Books Like Still Beating
Enemies to Lovers Kitap Önerileri
Fae Enemies to Lovers Books
Enemy to Lovers Books Deutsch
Enemies Neighbors to Lovers Books",Please do ENEMIES to LOVERS!,rec,,,"interessante parla dei trope dentro i libri come lista --> prescrittivo. la trama è ridotta al minimo, + spazio ai trope"
7254023629309103402,2023-07-10,320k,963.0,156.7k,"#fyppppppppppppppppppppppp 

#foryou 

#movies

#enemiestolovers

#foryoupage 

#booktok",Who was gonna tell me that this movie existed?,rec,,,"è un film, ma è uscito con la query etl+booktok"
7593182180671573278,2026-09-01,155.0,2.0,45.0,"Dark Small Town Romance
- Enemies to Lovers
- Forced Proximity 

#booktok 

#darkromance 

#smalltownromance 

#cowboyromance 

#bookrecommendations",When she finds out exactly what helps the cowboy fll asleep at night and he's embarassed until...,rec,"text
self promo",,
7534033325296487687,2025-08-02,201.0,12.0,65.0,the ‘don’t touch my wife’ trope EATS everytime 🤌🏻🫠,don't touch my wife trope >>> enchantra by kaylie smith,rec,text,,>>> altro trend?
7598928695709060374,2026-01-24,11.1K,363.0,944.0,"I love him, but I don't think he has the right to forbid Azriel. I need to know what BookTok thinks about that.. Protective... or controlling?
#azriel
#acotar
#sarahjmaas
#booktok
#rhysand","Rhys growled: ""Allow me to make one thing VERY CLEAR. You are to STAY AWAY from her.""
Azriel: ""You CAN'T order me to do that.""
Did this line change how you see Rhys? And did the bonus chapter make it worse?",int,text,,
